image,fr,en,de,ro
temps.png,temps,weather,Wetter,timp
partiesducorps.png,corps,body,Körper,corp
chiffres.png,chiffres,figures,Zahlen,cifre
aliments.png,aliments,food,Lebensmittel,alimente
vehicules.png,véhicules,vehicles,Fahrzeuge,vehicule
nature.png,nature,nature,Natur,natură
emotionsetats.png,émotions et états,emotions and states,Gefühle und Zustände,emoții și stări
personnes.png,personnes,people,Leuten,persoane
animaux.png,animaux,animals,Tiere,animale
jours.png,jours,weekdays,Tage,zile
actions.png,actions,actions,Aktionen,acțiuni
objets.png,objets,objects,Gegenständen,obiecte
couleurs.png,couleurs,colors,Farben,culori
lieux.png,lieux,places,Orte,locuri
ustensiles.png,ustensiles,utensils,Kochutensilien,ustensile
autres.png,divers,miscellaneous,Verschiedenes,diverse
mobiliers.png,mobiliers,furniture,Möbel,mobiliere
jouets.png,jouets,toys,Spielzeug,jucării
vetements.png,vêtements,clothing,Kleidung,haine
chaise.png,chaise,chair,Stuhl,scaun
canape.png,canapé,sofa,Sofa,canapea
lit.png,lit,bed,Bett,pat
tabouret.png,tabouret,stool,Hocker,taburet
fauteuil.png,fauteuil,armchair,Sessel,fotoliu
table.png,table,table,Tisch,masă
tableau.png,tableau,blackboard,Tabelle,tablă
pailles.png,pailles,straws,Strohhalmen,paie
casserole.png,casserole,pans,Kochtopf,oală
ferarepasser.png,fer a repasser,ironer,Bügeleisen,fier de călcat
tournevis.png,tournevis,screwdriver,Schraubendreher,șurubelniță
couverts.png,couverts,cutlery,Besteck,tacâmuri
bol.png,bol,bowl,Schüssel,bol
brosse.png,brosse,brush,Bürsten,perie
louche.png,louche,ladle,Schöpfkelle,polonic
fourchette.png,fourchette,fork,Gabel,furculiță
ciseaux.png,ciseaux,scissors,Schere,foarfecă
bouilloire.png,bouilloire,kettle,Kessel,fierbător
tasse.png,tasse,cup,Tasse,ceașcă
lunettes.png,lunettes,glasses,Brille,ochelari
slip.png,slip,underpants,Unterhosen,chilot
serviettes.png,serviettes,towels,Serviette,prosoape
pantalon.png,pantalon,pants,Hose,pantaloni
casquette.png,casquette,cap,Kappe,șapcă
manteau.png,manteau,coat,Mantel,mantou
gants.png,gants,glove,Handschuhe,mănuși
pyjama.png,pyjama,pyjamas,Pyjama,pijamale
chemisedenuit.png,chemise de nuit,nightdress,Nachthemd,cămașă de noapte
soutiengorge.png,soutien-gorge,bra,Büstenhalter,sutien
chaussures.png,chaussures,shoes,Schuhe,încălțări
tablier.png,tablier,apron,Schürze,șorț
bottes.png,bottes,boots,Stiefel,cizme
salopette.png,salopette,overalls,Latzhose,salopetă
robe.png,robe,dresse,Kleid,rochie
pull.png,pull,sweater,Pullover,pulovăr
couche.png,couche,diaper,Winde,scutec
coussins.png,coussins,pillow,Kissen,pernă
horloge.png,horloge,clock,Uhr,ceas
loupe.png,loupe,magnifying glass,Lupe,lupă
cle.png,clé,key,Schlüssel,cheie
