image,fr,en,ro
temps.png,temps,weather,timp
partiesducorps.png,corps,body,corp
chiffres.png,chiffres,figures,cifre
aliments.png,aliments,food,alimente
vehicules.png,véhicules,vehicles,vehicule
nature.png,nature,nature,natură
emotionsetats.png,émotions et états,emotions and states,emoții și stări
personnes.png,personnes,people,persoane
animaux.png,animaux,animals,animale
jours.png,jours,weekdays,zile
actions.png,actions,actions,acțiuni
objets.png,objets,objects,obiecte
couleurs.png,couleurs,colors,culori
lieux.png,lieux,places,locuri
ustensiles.png,ustensiles,utensils,ustensile
autres.png,divers,miscellaneous,diverse
mobiliers.png,mobiliers,furniture,mobiliere
jouets.png,jouets,toys,jucării
vetements.png,vêtements,clothing,haine
chaise.png,chaise,chair,scaun
canape.png,canapé,sofa,canapea
lit.png,lit,bed,pat
tabouret.png,tabouret,stool,taburet
fauteuil.png,fauteuil,armchair,fotoliu
table.png,table,table,masă
tableau.png,tableau,blackboard,tablă
pailles.png,pailles,straws,paie
casserole.png,casserole,pans,oală
ferarepasser.png,fer a repasser,ironer,fier de călcat
tournevis.png,tournevis,screwdriver,șurubelniță
couverts.png,couverts,cutlery,tacâmuri
bol.png,bol,bowl,bol
brosse.png,brosse,brush,perie
louche.png,louche,ladle,polonic
fourchette.png,fourchette,fork,furculiță
ciseaux.png,ciseaux,scissors,foarfecă
bouilloire.png,bouilloire,kettle,fierbător
tasse.png,tasse,cup,ceașcă
lunettes.png,lunettes,glasses,ochelari
slip.png,slip,underpants,chilot
serviettes.png,serviettes,towels,prosoape
pantalon.png,pantalon,pants,pantaloni
casquette.png,casquette,cap,șapcă
manteau.png,manteau,coat,mantou
gants.png,gants,glove,mănuși
pyjama.png,pyjama,pyjamas,pijamale
chemisedenuit.png,chemise de nuit,nightdress,cămașă de noapte
soutiengorge.png,soutien-gorge,bra,sutien
chaussures.png,chaussures,shoes,încălțări
tablier.png,tablier,apron,șorț
bottes.png,bottes,boots,cizme
salopette.png,salopette,overalls,salopetă
robe.png,robe,dresse,rochie
pull.png,pull,sweater,pulovăr
couche.png,couche,diaper,scutec
coussins.png,coussins,pillow,pernă
horloge.png,horloge,clock,ceas
loupe.png,loupe,magnifying glass,lupă
cle.png,clé,key,cheie
ordinateur.png,ordinateur,computer,calculator
