image,fr,en,de
temps.png,temps,weather,Wetter
partiesducorps.png,corps,body,Körper
chiffres.png,chiffres,figures,Zahlen
aliments.png,aliments,food,Lebensmittel
vehicules.png,véhicules,vehicles,Fahrzeuge
nature.png,nature,nature,Natur
emotionsetats.png,émotions et états,emotions and states,Gefühle und Zustände
personnes.png,personnes,people,Leuten
animaux.png,animaux,animals,Tiere
jours.png,jours,weekdays,Tage
actions.png,actions,actions,Aktionen
objets.png,objets,objects,Gegenständen
couleurs.png,couleurs,colors,Farben
lieux.png,lieux,places,Orte
ustensiles.png,ustensiles,utensils,Kochutensilien
autres.png,divers,miscellaneous,Verschiedenes
mobiliers.png,mobiliers,furniture,Möbel
jouets.png,jouets,toys,Spielzeug
vetements.png,vêtements,clothing,Kleidung
chaise.png,chaise,chair,Stuhl
canape.png,canapé,sofa,Sofa
lit.png,lit,bed,Bett
tabouret.png,tabouret,stool,Hocker
fauteuil.png,fauteuil,armchair,Sessel
table.png,table,table,Tisch
tableau.png,tableau,blackboard,Tabelle
pailles.png,pailles,straws,Strohhalmen
casserole.png,casserole,pans,Kochtopf
ferarepasser.png,fer a repasser,ironer,Bügeleisen
tournevis.png,tournevis,screwdriver,Schraubendreher
couverts.png,couverts,cutlery,Besteck
bol.png,bol,bowl,Schüssel
brosse.png,brosse,brush,Bürsten
louche.png,louche,ladle,Schöpfkelle
fourchette.png,fourchette,fork,Gabel
ciseaux.png,ciseaux,scissors,Schere
bouilloire.png,bouilloire,kettle,Kessel
tasse.png,tasse,cup,Tasse
lunettes.png,lunettes,glasses,Brille
slip.png,slip,underpants,Unterhosen
serviettes.png,serviettes,towels,Serviette
pantalon.png,pantalon,pants,Hose
casquette.png,casquette,cap,Kappe
manteau.png,manteau,coat,Mantel
gants.png,gants,glove,Handschuhe
pyjama.png,pyjama,pyjamas,Pyjama
chemisedenuit.png,chemise de nuit,nightdress,Nachthemd
soutiengorge.png,soutien-gorge,bra,Büstenhalter
chaussures.png,chaussures,shoes,Schuhe
tablier.png,tablier,apron,Schürze
bottes.png,bottes,boots,Stiefel
salopette.png,salopette,overalls,Latzhose
robe.png,robe,dresse,Kleid
pull.png,pull,sweater,Pullover
couche.png,couche,diaper,Winde
coussins.png,coussins,pillow,Kissen
horloge.png,horloge,clock,Uhr
loupe.png,loupe,magnifying glass,Lupe
cle.png,clé,key,Schlüssel
ordinateur.png,ordinateur,computer,Computer
machinealaver.png,machine à laver,washing machine,Waschmaschine
taillecrayon.png,taille-crayon,sharpener,Bleistiftspitzer
protectionsolaire.png,protection solaire,sunscreen,Sonnenschutz
peigne.png,peigne,comb,Kamm
shampoing.png,shampoing,shampoo,Shampoo
neige.png,neige,snow,Schnee
livre.png,livre,book,Buch
gomme.png,gomme,rubber,Gummi
marteau.png,marteau,hammer,Hammer
secours.png,secours,rescue,Nothilfe
poubelle.png,poubelle,trash can,Mülleimer
ventilateur.png,ventilateur,fan,Ventilator
rasoir.png,rasoir,razor,Rasiermesser
feu.png,feu,fire,Feuer
sacados.png,sac-à-dos,backpack,Rucksack
sacamain.png,sac-à-main,handbag,Handtasche
cendrier.png,cendrier,ashtray,Aschenbecher
soleil.png,soleil,sun,Sonne
mirroir.png,mirroir,mirror,Spiegel
parapluie.png,parapluie,umbrella,Regenschirm
cartable.png,cartable,schoolbag,Schulranzen
mobile.png,mobile,cell,Handy
feudartifice.png,feu d'artifice,fireworks,Feuerwerk
bouledelaine.png,laine,wool ball,Wolle
savon.png,savon,soap,Seife
colle.png,colle,glue,Klebstoff
velo.png,vélo,bike,Fahrrad
tambour.png,tambour,drum,Trommel
ours.png,ours,bear,Bär
poupee.png,poupée,doll,Puppe
trampoline.png,trampoline,trampoline,Trampolin
tapecul.png,tape-cul,seesaw,Wippe
ballon.png,ballon,ballon,Ballon
trottinette.png,trottinette,scooter,Tretroller
pingpong.png,ping pong,ping pong,Tischtennis
jumelles.png,jumelles,binoculars,Fernglas
cerfvolant.png,cerf-volant,kite,Drachen
cartes.png,cartes,cards,Karten
pinceaux.png,pinceaux,paintbrush,Pinseln
frisbee.png,frisbee,frisbee,Frisbee
tennis.png,tennis,tennis,Tennis
consoledejeux.png,console de jeux,game console,Spielkonsole
feutres.png,feutres,felt pen,Filzen
puzzle.png,puzzle,puzzle,Puzzle
peluches.png,peluches,stuffed animals,Plüschtiere
pistolet.png,pistolet,handgun,Pistole
baladeur.png,baladeur,walkman,Walkman
luge.png,luge,sledge,Schlitten
biscuits.png,biscuits,biscuits,Kekse
eau.png,eau,water,Wasser
beurre.png,beurre,butter,Butter
lait.png,lait,milk,Milch
sucre.png,sucre,sugar,Zucker
riz.png,riz,rice,Reis
pates.png,pates,pasta,Nudeln
crepes.png,crêpes,pancakes,Pfannkuchen
dessert.png,dessert,dessert,Dessert
pain.png,pain,bread,Brot
bonbon.png,bonbon,candy,Süßigkeiten
gateau.png,gâteau,cake,Kuchen
fruitslegumes.png,fruits et légumes,fruits and vegetables,Obst und Gemüse
yaourt.png,yaourt,yogurt,Joghurt
cereales.png,céréales,cereals,Getreide
viande.png,viande,meat,Fleisch
friandises.png,bonbons,sweetmeat,Süßigkeiten
confiture.png,confiture,jam,Marmelade
hamburger.png,hamburger,hamburger,Hamburger
alcool.png,alcool,alcohol,Alkohol
ketchup.png,ketchup,ketchup,Ketchup
chocolat.png,chocolat,chocolate,Schokolade
sel.png,sel,salt,Salz
limonade.png,limonade,limonade,Limonade
saucisson.png,saucisson,sausage,Wurst
soda.png,soda,soda,Soda
frites.png,frites,fries,Pommes frites
betteraves.png,bétteraves,beets,Rüben
glace.png,glace,icecream,Eis
oeuf.png,oeuf,eggs,Ei
pasteque.png,pastèque,watermelons,Wassermelone
fraise.png,fraise,strawberry,Erdbeere
cerises.png,cerises,cherry,Kirschen
haricots.png,haricots,beans,Bohnen
prune.png,prune,plums,Pflaume
noix.png,noix,nuts,Nüsse
poireau.png,poireau,leek,Lauch
bananes.png,bananes,bananas,Bananen
citron.png,citron,lemon,Zitrone
